delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion,longitud,latitud
OTROS DELITOS,CELAYA,2021,ENERO,7,VILLAS DEL ROMERAL,CALLE VILLA ESCALANTE,,-100.8053221,20.4967125
DESPOJO,CELAYA,2021,ENERO,7,LOS OLIVOS SEGUNDA SECCION,CALLE CORATINA,,-100.7693244,20.5486265
OTROS DELITOS,CELAYA,2021,ENERO,3,RINCONADA SAN MIGUEL,CALLE RINCÓN DEL MOLINO,,-100.7905065,20.5538272
OTROS DELITOS,CELAYA,2021,ENERO,3,NO CATALOGADO,CALLE JUAN B. CASTELAZO,,-100.8468195,20.5245381
LESIONES DOLOSAS,CELAYA,2021,ENERO,3,TENERIA DEL SANTUARIO,CALLE VICENTE SUÁREZ,,-100.799911,20.6014888
OTROS DELITOS,CELAYA,2021,ENERO,2,SAN JOSE DE GUANAJUATO,CALLE PINO SUÁREZ,,-100.8924262,20.5546875
LESIONES DOLOSAS,CELAYA,2021,ENERO,2,EL PARAISO,CALLE NARANJOS,,-100.8298161,20.5612532
HOMICIDIO DOLOSO,CELAYA,2021,ENERO,7,LAGOS,CALLE PASEO DE SAN NICOLÁS DE PARRA,,-100.8334159,20.5075167
OTROS DELITOS,CELAYA,2021,ENERO,7,ALAMOS,CALLE FLAMENCO,,-100.8509479,20.5279244
AMENAZAS,CELAYA,2021,ENERO,8,EL PARAISO,MORAL,,-100.8296269,20.5606253
OTROS DELITOS,CELAYA,2021,ENERO,7,LA CONCEPCION,PRIVADA MIGUEL HIDALGO,,-100.7938245,20.6155462
OTROS DELITOS,CELAYA,2021,ENERO,6,HACIENDA NATURA,CALLE PARQUE DEL CIMATARIO,,-100.8602898,20.5542304
VIOLENCIA FAMILIAR,CELAYA,2021,ENERO,7,VILLAS DE LA HACIENDA,CALLE VILLA CAMPESTRE,,-100.8333157,20.5523501
ROBO A CASA HABITACIÓN,CELAYA,2021,ENERO,7,TIERRA BLANCA,AVENIDA LÁZARO CÁRDENAS DEL RÍO,SIN VIOLENCIA,-100.8138167,20.5074661
ROBOS DIVERSOS,CELAYA,2021,ENERO,6,EMILIANO ZAPATA,CALLE CARLOS M. PERALTA,CON VIOLENCIA,-100.8003511,20.5449734
CONTRA LA SALUD,CELAYA,2021,ENERO,6,CANTARRANAS,AVENIDA SALVADOR ORTEGA,,-100.8513924,20.5568492
